Xcoor,Ycoor,Zcoor,Indicator
843.825049,7241.168189,76.999,1
843.825049,7241.168189,75.999,0
843.825049,7241.168189,74.999,0
843.825049,7241.168189,73.999,0
843.825049,7241.168189,72.999,0
843.825049,7241.168189,71.999,0
843.825049,7241.168189,70.999,0
843.825049,7241.168189,69.999,0
843.825049,7241.168189,68.999,0
843.825049,7241.168189,67.999,0
843.825049,7241.168189,66.999,0
843.825049,7241.168189,65.999,0
843.825049,7241.168189,64.999,0
843.825049,7241.168189,63.999,0
843.825049,7241.168189,62.999,0
843.825049,7241.168189,61.999,0
843.825049,7241.168189,60.999,1
843.825049,7241.168189,59.999,1
843.825049,7241.168189,58.999,1
843.825049,7241.168189,57.999,1
843.825049,7241.168189,56.999,1
843.825049,7241.168189,55.999,1
843.825049,7241.168189,54.999,1
843.825049,7241.168189,53.999,0
843.825049,7241.168189,52.999,1
843.825049,7241.168189,51.999,1
843.825049,7241.168189,50.999,1
843.825049,7241.168189,49.999,1
843.825049,7241.168189,48.999,1
843.825049,7241.168189,47.999,1
843.825049,7241.168189,46.999,0
843.825049,7241.168189,45.999,0
843.825049,7241.168189,44.999,0
843.825049,7241.168189,43.999,0
843.825049,7241.168189,42.999,0
843.825049,7241.168189,41.999,0
843.825049,7241.168189,40.999,0
843.825049,7241.168189,39.999,1
843.825049,7241.168189,38.999,1
843.825049,7241.168189,37.999,0
843.825049,7241.168189,36.999,0
843.825049,7241.168189,35.999,0
843.825049,7241.168189,34.999,0
843.825049,7241.168189,33.999,0
843.825049,7241.168189,32.999,0
843.825049,7241.168189,31.999,0
843.825049,7241.168189,30.999,0
843.825049,7241.168189,29.999,0
843.825049,7241.168189,28.999,0
843.825049,7241.168189,27.999,1
843.825049,7241.168189,26.999,0
843.825049,7241.168189,25.999,1
843.825049,7241.168189,24.999,0
843.825049,7241.168189,23.999,0
843.825049,7241.168189,23,1
843.825049,7241.168189,22,0
843.825049,7241.168189,21,0
843.825049,7241.168189,20,0
843.825049,7241.168189,19,0
843.825049,7241.168189,18,0
843.825049,7241.168189,17,0
843.825049,7241.168189,16,0
843.825049,7241.168189,15,0
1867.038719,5328.454968,136.998,1
1867.038719,5328.454968,135.998,1
1867.038719,5328.454968,134.998,1
1867.038719,5328.454968,133.998,1
1867.038719,5328.454968,132.998,1
1867.038719,5328.454968,131.998,1
1867.038719,5328.454968,130.998,1
1867.038719,5328.454968,129.998,1
1867.038719,5328.454968,128.998,1
1867.038719,5328.454968,127.998,1
1867.038719,5328.454968,126.998,1
1867.038719,5328.454968,125.998,1
1867.038719,5328.454968,124.998,1
1867.038719,5328.454968,123.998,1
1867.038719,5328.454968,122.998,1
1867.038719,5328.454968,121.998,1
1867.038719,5328.454968,120.998,1
1867.038719,5328.454968,119.998,0
1867.038719,5328.454968,118.998,1
1867.038719,5328.454968,117.998,1
1867.038719,5328.454968,116.998,1
1867.038719,5328.454968,115.998,1
1867.038719,5328.454968,114.998,1
1867.038719,5328.454968,113.998,1
1867.038719,5328.454968,112.998,1
1867.038719,5328.454968,111.998,1
1867.038719,5328.454968,110.998,1
1867.038719,5328.454968,109.998,1
1867.038719,5328.454968,108.998,1
1867.038719,5328.454968,107.998,0
1867.038719,5328.454968,106.998,1
1867.038719,5328.454968,105.998,1
1867.038719,5328.454968,104.998,1
1867.038719,5328.454968,103.998,0
1867.038719,5328.454968,102.998,0
1867.038719,5328.454968,101.998,0
1867.038719,5328.454968,100.998,0
1867.038719,5328.454968,99.998,0
1867.038719,5328.454968,98.998,0
1867.038719,5328.454968,97.998,0
1867.038719,5328.454968,96.998,0
1867.038719,5328.454968,95.999,0
